MOL_1,MOL_2,logV
B(Br)(Br)Br,CCO,-0.140111686010622
B(Br)(Br)Br,CCO,
BrBr,CCO,-0.0111872962712595
BrBr,CCO,
BrC(Br)(Br)Br,c1ccccc1,-0.2197547161346474
BrC(Br)(Br)Br,c1ccccc1,-0.0807649620768015
BrC(Br)(Br)Br,c1ccccc1,0.050070264367438416
BrC(Br)(Br)Br,c1ccccc1,0.16542240081456988
BrC(Br)(Br)Br,c1ccccc1,0.2646997921671458
BrC(Br)(Br)Br,c1ccccc1,0.34931638877008725
BrC(Br)(Br)Br,c1ccccc1,0.4208794988754823
BrC(Br)(Br)Br,c1ccccc1,0.48084021854277703
BrC(Br)(Br)Br,c1ccccc1,0.5303277897780735
BrC(Br)(Br)Br,c1ccccc1,0.5700990789919579
BrC(Br)(Br)Br,c1ccccc1,0.6005917684293761
BrC(Br)Br,Brc1ccccc1,-0.017472669683984626
BrC(Br)Br,Brc1ccccc1,0.009236236170733665
BrC(Br)Br,Brc1ccccc1,0.03617592519679737
BrC(Br)Br,Brc1ccccc1,0.06357471820303316
BrC(Br)Br,Brc1ccccc1,0.08989728077930786
BrC(Br)Br,Brc1ccccc1,0.11518512510837987
BrC(Br)Br,Brc1ccccc1,0.13871734745873504
BrC(Br)Br,Brc1ccccc1,0.1608359163870723
BrC(Br)Br,Brc1ccccc1,0.18269936768121597
BrC(Br)Br,Brc1ccccc1,0.20286186126861694
BrC(Br)Br,Brc1ccccc1,0.22087090694942846
BrC(Br)Br,C1CCCCC1,-0.1980683223290842
BrC(Br)Br,C1CCCCC1,-0.16497482024830437
BrC(Br)Br,C1CCCCC1,-0.1323212870765794
BrC(Br)Br,C1CCCCC1,-0.10045240454309634
BrC(Br)Br,C1CCCCC1,-0.06581409814832834
BrC(Br)Br,C1CCCCC1,-0.028345138068044538
BrC(Br)Br,C1CCCCC1,0.01032561456627892
BrC(Br)Br,C1CCCCC1,0.04983095577500865
BrC(Br)Br,C1CCCCC1,0.08787825803877436
BrC(Br)Br,C1CCCCC1,0.1271800156014186
BrC(Br)Br,C1CCCCC1,0.16920403652361962
BrC(Br)Br,CC(C)=O,-0.5157001606532141
BrC(Br)Br,CC(C)=O,-0.38674430101100987
BrC(Br)Br,CC(C)=O,-0.2779409980589192
BrC(Br)Br,CC(C)=O,-0.18585494951811216
BrC(Br)Br,CC(C)=O,-0.09597462435328498
BrC(Br)Br,CC(C)=O,-0.016865403568567233
BrC(Br)Br,CC(C)=O,0.05519760890297354
BrC(Br)Br,CC(C)=O,0.11752415884864167
BrC(Br)Br,CC(C)=O,0.17712640917135425
BrC(Br)Br,CC(C)=O,0.22978810548354592
BrC(Br)Br,CC(C)=O,0.2773799746672546
BrC(Br)Br,CC(C)CCO,0.483058831801268
BrC(Br)Br,CC(C)CCO,0.4679117940422602
BrC(Br)Br,CC(C)CCO,0.4250185750011051
BrC(Br)Br,CC(C)CCO,0.38100261537434
BrC(Br)Br,CC(C)CCO,0.3395731057859452
BrC(Br)Br,CC(C)CCO,0.30621873960693174
BrC(Br)Br,CC(C)CCO,0.28077073398324304
BrC(Br)Br,CC(C)CCO,0.2544689470095824
BrC(Br)Br,CC(C)CCO,0.24114796245593148
BrC(Br)Br,CC(C)CCO,0.2392708775210756
BrC(Br)Br,CC(C)CCO,0.2535610020278684
BrC(Br)Br,CCCCCC,-0.5162701009999763
BrC(Br)Br,CCCCCC,-0.4540641388726919
BrC(Br)Br,CCCCCC,-0.3988272766390639
BrC(Br)Br,CCCCCC,-0.3076117667399291
BrC(Br)Br,CCCCCC,-0.241843471103554
BrC(Br)Br,CCCCCC,-0.17404045711919208
BrC(Br)Br,CCCCCC,-0.08559394701405007
BrC(Br)Br,CCCCCC,-0.006991178323567188
BrC(Br)Br,CCCCCC,0.08535470346350468
BrC(Br)Br,CCCCCC,0.17356855032455296
BrC(Br)Br,CCCCCC,0.2668131113675012
BrC(Br)Br,CCCCCCC(C)O,0.682770228981295
BrC(Br)Br,CCCCCCC(C)O,0.6405651805552269
BrC(Br)Br,CCCCCCC(C)O,0.5875716498475467
BrC(Br)Br,CCCCCCC(C)O,0.5261535778333692
BrC(Br)Br,CCCCCCC(C)O,0.47080922759007277
BrC(Br)Br,CCCCCCC(C)O,0.4161521456111051
BrC(Br)Br,CCCCCCC(C)O,0.3700051680944811
BrC(Br)Br,CCCCCCC(C)O,0.32607536400602816
BrC(Br)Br,CCCCCCC(C)O,0.28933398954822936
BrC(Br)Br,CCCCCCC(C)O,0.2620830846815631
BrC(Br)Br,CCCCCCC(C)O,0.2535610020278684
BrC(Br)Br,CCCCCCCCCO,0.8688792509794908
BrC(Br)Br,CCCCCCCCCO,0.8171217272120965
BrC(Br)Br,CCCCCCCCCO,0.7512447520949905
BrC(Br)Br,CCCCCCCCCO,0.6875142285833725
BrC(Br)Br,CCCCCCCCCO,0.6436380832668851
BrC(Br)Br,CCCCCCCCCO,0.5708899634442225
BrC(Br)Br,CCCCCCCCCO,0.5023757347806975
BrC(Br)Br,CCCCCCCCCO,0.4299706158217915
BrC(Br)Br,CCCCCCCCCO,0.3569218488768909
BrC(Br)Br,CCCCCCCCCO,0.29443839432732827
BrC(Br)Br,CCCCCCCCCO,0.2535610020278684
BrC(Br)Br,CCCCCCO,0.5671691669924974
BrC(Br)Br,CCCCCCO,0.5544177979067503
BrC(Br)Br,CCCCCCO,0.5113286489391712
BrC(Br)Br,CCCCCCO,0.4629086783652589
BrC(Br)Br,CCCCCCO,0.41824920952005823
BrC(Br)Br,CCCCCCO,0.3740383506894651
BrC(Br)Br,CCCCCCO,0.33448105149581026
BrC(Br)Br,CCCCCCO,0.2996938054221882
BrC(Br)Br,CCCCCCO,0.27083777235401324
BrC(Br)Br,CCCCCCO,0.2520134941973758
BrC(Br)Br,CCCCCCO,0.2535610020278684
BrC(Br)Br,CCCCCO,0.45374569592480823
BrC(Br)Br,CCCCCO,0.4511576977020771
BrC(Br)Br,CCCCCO,0.4191426269744752
BrC(Br)Br,CCCCCO,0.37878019762121284
BrC(Br)Br,CCCCCO,0.3424244155969325
BrC(Br)Br,CCCCCO,0.30924894630530814
BrC(Br)Br,CCCCCO,0.28367026121851685
BrC(Br)Br,CCCCCO,0.26139219169817257
BrC(Br)Br,CCCCCO,0.24649774412133527
BrC(Br)Br,CCCCCO,0.24174677620002138
BrC(Br)Br,CCCCCO,0.2535610020278684
BrC(Br)Br,CCCCO,0.3281618157458418
BrC(Br)Br,CCCCO,0.3384813917768346
BrC(Br)Br,CCCCO,0.3167261173553023
BrC(Br)Br,CCCCO,0.290841053945351
BrC(Br)Br,CCCCO,0.2677733618074461
BrC(Br)Br,CCCCO,0.24873060913988465
BrC(Br)Br,CCCCO,0.23642520481635118
BrC(Br)Br,CCCCO,0.22961637329312318
BrC(Br)Br,CCCCO,0.22676750826956882
BrC(Br)Br,CCCCO,0.23137230159215963
