SMILES,logV,BP,MP
CCCCC,-0.6457210686475665,36.0,
CC(C)(C)CC,-0.464308479847821,,
CC(C)C(C)C,-0.4605497783338337,57.9,144.43749999999994
CCCCCCC,-0.4091335652910053,98.5,
CC(C)CCCC,-0.45268313258119547,,
CC(C)(C)CCC,-0.421093175406334,,
CC(C)(C)C(C)C,-0.26035953531886974,,
CCCCCCCC,-0.2920561682133738,125.6,
CCC(CC)CCC,-0.3674214729950866,,
CC(C)(C)C(C)CC,-0.24579837822624695,,
CC(C)(C)CC(C)C,-0.3259916813817265,,
CCCCCCCCC,-0.18023490642815074,150.8,219.82125
CCCCCCCCCC,-0.0704780363958813,174.1,243.30499999999992
CCCCCCCCCCC,0.03812507882811396,195.9,247.3125
CCCCCCCCCCCCC,0.22833169662118452,235.4,268.09
CCCCCCCCCCCCCCC,0.40263279835625776,270.6,283.0499999999999
CCCCCCCCCCCCCCCC,0.48779387110720646,286.8,291.1975
CCCCCCCCCCCCCCCCC,0.5565843409986799,302.0,294.9833333333333
C1CCCC1,-0.3860817092862069,49.3,
C1CCCCC1,-0.049499009475994046,80.7,279.83394736842104
C1CCCCCC1,0.14380947712875541,118.4,264.35
C1CCCCCCC1,0.35575768510679506,149.0,286.8185714285714
C1=CCCC1,-0.5598367343206754,44.2,
C1=CCCCC1,-0.20982798155555002,82.9,
CO,-0.26961194408431266,64.7,175.24495884773654
C=CCO,0.08252124759825083,97.0,144.1499999999999
OCCOCCOCCO,1.5765607359325582,285.0,266.9357142857143
CCCCOCCCC,-0.18908175125426524,140.8,
CCOC(OCC)OCC,-0.16765384494474286,143.0,208.4
CCCOCCC,-0.4008047151543422,90.0,
COCCOC,-0.36058176969089273,85.0,212.6115384615385
COCCOCCOC,-0.009944305455290424,162.0,207.2457142857143
COCCOCCOCCOCCOC,0.5175551986396818,275.3,243.15
CCOCCOCCOCC,0.10885629468969829,188.0,228.6528571428572
C1=COC=C1,-0.44117297269051664,,
CC[Si](CC)(CC)CC,-0.21899370426400427,154.7,190.9625
C/C=C/C=O,-0.3242396297815552,103.1,196.9041818181818
CC(O)C,0.30572680739324576,,
CCCCCCO,0.652736011239119,157.6,
CCCCCCCCO,0.8730674099091602,195.1,260.109375
CCCCCCCCCO,0.9627140891432515,213.3,267.6394736842105
CCCCCCCCCCO,1.057072377520944,231.1,279.7982352941176
CCCCCCCCCCCO,1.152963716162327,243.0,289.1500000000001
CCCCCCCCCCCCO,1.2047786952945736,259.0,297.53235294117644
COC(C)(C)C,-0.47271071843028084,55.2,
C[Si](C)(C)O[Si](C)(C)C,-0.31302478265497324,99.0,208.55
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.26230441981283004,232.0,193.025
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,-0.07614145759227423,153.0,192.9
CC(O)COC,0.22728889318596557,,
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.3748075323844454,245.5,214.15000000000003
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,0.1112838176257325,194.0,198.15
CCCC=O,-0.3847493473880698,74.8,
OCCOCCOCCOC,0.8109685406137447,,
O=C(OCC)CCCCCCC,0.15128706050716353,,
O=C(OC)CCCCCCC,0.11114101856836703,,
CC(=O)C,-0.511805654386204,,
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,1.4638316534160674,350.0,235.15
CCCCCC,-0.530520836394017,68.7,
CCC(CC)CC,-0.461180595878758,93.5,154.38333333333327
CCC(C)(C)CC,-0.354649048908581,86.0,138.366
CC(C)CCCCC,-0.3290526537940102,,
CCC(C)CCCC,-0.3357384169213306,,
CCCC(C)CCC,-0.36243063605017733,117.7,152.14999999999995
CC(C)(C)CCCC,-0.30794313429909637,,
CC(C)C(C)CCC,-0.3289169477313308,,
CC(C)CC(C)CC,-0.24732458014077188,,
CC(C)CCC(C)C,-0.3409955014187538,109.1,182.15000000000003
CCC(C)C(C)CC,-0.33230747448230485,117.7,
CC(C)C(CC)CC,-0.3632290191815925,,
CCC(C)(CC)CC,-0.28006387280239753,118.2,182.2136363636364
CC(C)C(C)(C)CC,-0.2200832853613646,,
CC(C)C(C)C(C)C,-0.25024768779648754,113.5,163.73571428571432
CC(C)(C)CCC(C)C,-0.4603100579064945,,
CCC(C)(C)CC(C)CC,-0.05032529262592481,,
CC(C)CC(C)(C)CC,-0.14510709510009617,,
CCC(CC)(CC)CC,-0.3620194062580121,146.3,240.09166666666667
CC(C)(C)C(C)(C)CC,-0.12038309663620426,,
CC(C)(C)C(C)C(C)C,-0.12890262408594824,,
CC(C)(C)CC(C)(C)C,-0.1427097034220729,122.2,206.4416666666667
CC(C)C(C)(C)C(C)C,-0.11761753933808272,141.5,171.0916666666666
CC(C)(C)C(C)(C)CCC,-0.049574993429874786,,
CC(C)(C)CCC(C)(C)C,-0.06003523976182148,137.4,260.4045454545454
C1CCCCC1CC(C)C,0.15793816404503808,,
C1CCCCC1C(C)(C)C,0.09047554529928777,,
CC(C)(C)CCCCCC,-0.07078435292039956,,
CCC(C)CCCCCC,-0.10247420671152148,,
CC(C)CCCCCCC,-0.08932903427238373,,
CCCC(C)CCCCC,-0.12472113260828253,,
CCCCC(C)CCCC,-0.11620304543232256,165.1,185.325
CC(C)CCCCCC,-0.21793444005463752,,
CCC(C)CCCCC,-0.2677805949013678,,
CCCC(C)CCCC,-0.26758067760055615,,
CCC(CC)CCCC,-0.2677997410073237,,
CC(C)(C)CCCCC,-0.15712270895948663,,
CCC(C)CCCCCCCC,0.10151615150527464,,
C1(C)CCCC1,-0.3216718856916722,,
C1(CC)CCCC1,-0.2716898837795202,,
C1(C)(C)CCCC1,-0.3056615124622117,,
C1[C@@](C)([H])([C@]([H])(C)(CC1)),-0.30604704590853327,,
C1[C@](C)([H])([C@]([H])(C)(CC1)),-0.30559308948888353,,
C1[C@@](C)([H])(C[C@]([H])(C)(C1)),-0.3054199707297254,,
C1[C@](C)([H])(C[C@]([H])(C)(C1)),-0.3058573358689433,,
C1CCCC1(CCC),-0.19367211299935405,,
C1CCCC1(C(C)C),-0.1860604700588054,,
C1CCCC1(C)(CC),-0.18941424774106078,,
C1CCCC1(CCCC),-0.08030514152102443,,
C1CCCCC1(C),-0.1656778658333881,,
C1CCCCC1(CC),-0.10476008738283892,,
C1CCCCC1(C)(C),-0.11073182696046831,,
C1[C@@](C)([H])([C@]([H])(C)(CCC1)),0.008841510873575039,,
